,Offset_au,Vel_red_nonconv,Vel_red,Vel_blue_nonconv,Vel_blue
38,-617.0568561872909,9.12009377818907,9.121355664480834,5.586784228595818,5.58415726470386
39,-607.0234113712374,9.130990538212938,9.132296194754476,5.5688203166027845,5.566010650720362
40,-596.9899665551839,9.142088386094146,9.143474644977177,5.550160732635354,5.547363980705183
41,-586.9565217391304,9.153508808208882,9.154900086401495,5.531395805349594,5.528194231792429
42,-576.9230769230769,9.16504155676503,9.166582092070671,5.5115549531723,5.508476887519924
43,-566.8896321070233,9.177028694638963,9.178530673710835,5.49150170378679,5.488185859638438
44,-556.8561872909698,9.189138396278503,9.190756338066722,5.470803109680178,5.46729323045495
45,-546.8227424749164,9.20162669945047,9.203270137067085,5.449309741282449,5.445769174728688
46,-536.7892976588628,9.214369480568713,9.216083812431979,5.42768174156867,5.423581775266376
47,-526.7558528428093,9.227387647582013,9.229209899381534,5.404615732861523,5.400696817446242
48,-516.7224080267558,9.240820248518121,9.242661756296073,5.381344224208964,5.377077675188586
49,-506.68896321070235,9.254405865282909,9.256453594565942,5.357194933402818,5.3526849119045075
50,-496.65551839464877,9.268592184610641,9.270600415540745,5.332064851910186,5.327476098163782
51,-486.6220735785953,9.282950415455147,9.285118097537342,5.3067574638817,5.301405528967361
52,-476.5886287625418,9.297798821372819,9.300023481864887,5.27955736808239,5.2744238078836885
53,-466.55518394648834,9.313012075737088,9.31533454779434,5.252097183833326,5.246477665163653
54,-456.52173913043475,9.328567603114285,9.331070592463217,5.223505116480217,5.217509325397189
55,-446.48829431438116,9.34472317410148,9.347252299935606,5.1935755204791505,5.187456075150668
56,-436.4548494983278,9.361093819128783,9.363901868800664,5.163403344033432,5.156249841549185
57,-426.4214046822742,9.378239826017069,9.381043046744796,5.130778563542615,5.123816299405964
58,-416.3879598662206,9.395693678334768,9.398701296987229,5.097692328587376,5.0900745588627885
59,-406.35451505016727,9.413739254125735,9.416904002883834,5.063246888602201,5.054936122464387
60,-396.3210702341137,9.432399436299871,9.435680654981573,5.026757705845592,5.018303834376958
61,-386.2876254180601,9.451423508969977,9.455063125738363,4.989919733457176,4.9800710922332705
62,-376.2541806020067,9.471432851960518,9.47508583922065,4.949979559835626,4.94012018185723
63,-366.22073578595314,9.491780527349608,9.495786040752211,4.9090284690651735,4.898321070915824
64,-356.18729096989955,9.513049107907984,9.51720414951549,4.866670730005977,4.854529628173165
65,-346.1538461538462,9.534986996910169,9.539384105759398,4.820804318203468,4.808584646209625
66,-336.1204013377926,9.557543387434354,9.562373870810093,4.774401733422039,4.760305939298155
67,-326.086956521739,9.581284685853765,9.58622588521987,4.72428289946618,4.709491180178009
68,-316.05351170568565,9.605494338491365,9.610997553117562,4.671746127828276,4.655912495543102
69,-306.02006688963206,9.631057156267058,9.636751979267519,4.618411325928253,4.599313977372098
70,-295.9866220735785,9.657442297108576,9.663558587355338,4.558314749073281,4.5394067321284
71,-285.9531772575251,9.68475614568316,9.691494047323388,4.497313180741591,4.4758625144482185
72,-275.9197324414715,9.713652460368822,9.720643377854376,4.4325576813095955,4.408306285213149
73,-265.88628762541794,9.743238736877204,9.751100988323923,4.361691248795581,4.3363043438093465
74,-255.85284280936457,9.774733429563415,9.782972248075785,4.289672273569501,4.259350824265426
75,-245.819397993311,9.807443306708194,9.816375201194447,4.209329346936537,4.17685365538648
76,-235.7859531772574,9.841418507712268,9.851442616652342,4.12402266774518,4.0881142265692905
77,-225.75250836120404,9.877818351294945,9.88832492467898,4.037207296613559,3.9923029943259842
78,-215.71906354515045,9.915323753601395,9.927193249491973,3.934779543463892,3.8884320319879144
79,-205.68561872909686,9.955399663437904,9.968243170048117,3.8293294004757357,3.7753149929951637
80,-195.6521739130435,9.997692322144857,10.011699642152637,3.717973628040446,3.6515192966919625
81,-185.6187290969899,10.041472816570849,10.057822401493945,3.5865882707047056,3.5153163030691514
82,-175.58528428093632,10.089600610308636,10.106913164174882,3.4515396141799126,3.364648296091933
83,-165.55183946488296,10.13971694484915,10.159325742024174,3.302212226718675,3.197155103398119
84,-155.51839464882937,10.192984550333996,10.215479026528506,3.126410618313953,3.0103357099409003
85,-145.48494983277578,10.251143639675313,10.275874135495517,2.9446622324617584,2.8018851724516036
86,-135.45150501672242,10.312090520394484,10.341118322240026,2.734176718950983,2.570421547840323
87,-125.41806020066883,10.378748320241161,10.41195870175328,2.4817351623868174,2.316584125428819
88,-115.38461538461524,10.451358962179953,10.489324355610654,2.2183214111064364,2.0444915685696037
89,-105.35117056856188,10.528163380375219,10.574389904648607,1.901494916052214,1.763272878968312
90,-95.3177257525083,10.614740630412848,10.668663444352934,1.4953048734145726,1.48817130866603
91,-85.2842809364547,10.70966959498367,10.774096385229436,1.0645921115550783,1.2405242872894657
92,-75.25083612040135,10.81157758325962,10.893209685351048,0.626674657549648,1.0459663281499596
93,-65.21739130434776,10.929951878509819,11.029252874473451,0.21803154170719274,0.9306199643801936
94,-55.18394648829417,11.06290978768779,11.186311759130714,-0.09118890302619587,0.91580463421624
95,-45.15050167224081,11.209303454964822,11.369274763187148,-0.176335575669067,1.0126352706578432
96,-35.11705685618722,11.383662266186473,11.583501504099043,0.1617474580432896,1.2183625982541058
97,-25.08361204013363,11.59136661544131,11.834010627845883,1.1861862459156498,1.515999564794611
98,-15.050167224080269,11.830451995122509,12.124062702378858,1.9693761258307898,1.877650799310671
99,-5.016722408026681,12.118196462432028,12.453211852466051,2.624749798681738,2.2705193980114755
100,5.016722408026908,12.504065494226175,12.81522480244298,3.0489600013409976,2.663543469329385
101,15.050167224080269,12.960013202115668,13.19660372746141,3.409496290259094,3.03254714574922
102,25.083612040133858,13.530737507515624,13.576570020505423,3.6930802605515898,3.3626579891134822
103,35.117056856187446,14.2742933211264,13.929101637308062,3.9033530083762313,3.6479723405881277
104,45.15050167224081,15.033101158584099,14.226916513565023,4.089042804336673,3.8893838034491623
105,55.183946488294396,15.366627981906827,14.446450529733362,4.250570437555522,4.091799415246499
106,65.21739130434798,15.402898366938583,14.57233935033636,4.379416415582253,4.261706445945165
107,75.25083612040135,15.249680293264973,14.600000986454827,4.497797663838776,4.405534502696934
108,85.28428093645493,14.985905594006693,14.535628439780997,4.6041675107825455,4.528825701888805
109,95.31772575250852,14.664806310713441,14.393870153311571,4.694575221353595,4.6359901949155855
110,105.35117056856188,14.320334509834908,14.194199489082864,4.779327177774698,4.730384584837578
